Train Loss: 0.317, Valid Loss: 0.285132, Accuracy: 0.92
Train Loss: 0.263, Valid Loss: 0.237189, Accuracy: 0.93
Train Loss: 0.181, Valid Loss: 0.211738, Accuracy: 0.93
Train Loss: 0.218, Valid Loss: 0.187602, Accuracy: 0.94
Train Loss: 0.080, Valid Loss: 0.168804, Accuracy: 0.95
Train Loss: 0.095, Valid Loss: 0.162794, Accuracy: 0.95
Train Loss: 0.047, Valid Loss: 0.160205, Accuracy: 0.95
Train Loss: 0.076, Valid Loss: 0.158182, Accuracy: 0.95
Train Loss: 0.028, Valid Loss: 0.148890, Accuracy: 0.95
Train Loss: 0.049, Valid Loss: 0.158990, Accuracy: 0.95
