Train Loss: 0.295, Valid Loss: 0.303611, Accuracy: 0.91
Train Loss: 0.243, Valid Loss: 0.242971, Accuracy: 0.93
Train Loss: 0.233, Valid Loss: 0.225222, Accuracy: 0.94
Train Loss: 0.202, Valid Loss: 0.207037, Accuracy: 0.94
Train Loss: 0.142, Valid Loss: 0.201854, Accuracy: 0.94
Train Loss: 0.148, Valid Loss: 0.183487, Accuracy: 0.94
Train Loss: 0.109, Valid Loss: 0.176239, Accuracy: 0.94
Train Loss: 0.164, Valid Loss: 0.169795, Accuracy: 0.95
Train Loss: 0.145, Valid Loss: 0.165996, Accuracy: 0.94
Train Loss: 0.148, Valid Loss: 0.156892, Accuracy: 0.95
