Train Loss: 0.341, Valid Loss: 0.292650, Accuracy: 0.92
Train Loss: 0.169, Valid Loss: 0.229694, Accuracy: 0.93
Train Loss: 0.205, Valid Loss: 0.207258, Accuracy: 0.94
Train Loss: 0.127, Valid Loss: 0.187267, Accuracy: 0.94
Train Loss: 0.096, Valid Loss: 0.169796, Accuracy: 0.95
Train Loss: 0.095, Valid Loss: 0.163014, Accuracy: 0.95
Train Loss: 0.037, Valid Loss: 0.157220, Accuracy: 0.95
Train Loss: 0.034, Valid Loss: 0.162629, Accuracy: 0.95
Train Loss: 0.038, Valid Loss: 0.159400, Accuracy: 0.95
Train Loss: 0.027, Valid Loss: 0.151795, Accuracy: 0.95
