Train Loss: 0.372, Valid Loss: 0.293666, Accuracy: 0.92
Train Loss: 0.411, Valid Loss: 0.234648, Accuracy: 0.93
Train Loss: 0.318, Valid Loss: 0.206832, Accuracy: 0.94
Train Loss: 0.171, Valid Loss: 0.190131, Accuracy: 0.94
Train Loss: 0.140, Valid Loss: 0.172381, Accuracy: 0.94
Train Loss: 0.073, Valid Loss: 0.171478, Accuracy: 0.94
Train Loss: 0.080, Valid Loss: 0.162537, Accuracy: 0.95
Train Loss: 0.071, Valid Loss: 0.162891, Accuracy: 0.95
Train Loss: 0.112, Valid Loss: 0.150889, Accuracy: 0.95
Train Loss: 0.122, Valid Loss: 0.145623, Accuracy: 0.95
